DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-01,12091.658,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-02,10431.340,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-03,10137.968,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-04,9115.325,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-05,9751.789,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-06,9354.686,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-07,10145.696,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-08,10072.890,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-09,9720.766,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-10,9686.949,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-11,10151.872,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2017-12,9982.882,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2018-01,10138.276,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2018-02,10415.872,,
