TIME_PERIOD;TYPE;UNIT;OPERATION;OBS_VALUE
2008-01;Hard coal;Thousand tonnes;Exports;461.000
2008-02;Hard coal;Thousand tonnes;Exports;756.000
2008-03;Hard coal;Thousand tonnes;Exports;866.000
2008-04;Hard coal;Thousand tonnes;Exports;773.000
2008-05;Hard coal;Thousand tonnes;Exports;663.000
2008-06;Hard coal;Thousand tonnes;Exports;685.000
2008-07;Hard coal;Thousand tonnes;Exports;835.000
2008-08;Hard coal;Thousand tonnes;Exports;626.000
2008-09;Hard coal;Thousand tonnes;Exports;684.000
2008-10;Hard coal;Thousand tonnes;Exports;179.000
2008-11;Hard coal;Thousand tonnes;Exports;521.000
2008-12;Hard coal;Thousand tonnes;Exports;493.000
2009-01;Hard coal;Thousand tonnes;Exports;446.000
2009-02;Hard coal;Thousand tonnes;Exports;492.000
2009-03;Hard coal;Thousand tonnes;Exports;693.000
2009-04;Hard coal;Thousand tonnes;Exports;536.000
2009-05;Hard coal;Thousand tonnes;Exports;456.000
2009-06;Hard coal;Thousand tonnes;Exports;635.000
2009-07;Hard coal;Thousand tonnes;Exports;711.000
2009-08;Hard coal;Thousand tonnes;Exports;759.000
2009-09;Hard coal;Thousand tonnes;Exports;939.000
2009-10;Hard coal;Thousand tonnes;Exports;829.000
2009-11;Hard coal;Thousand tonnes;Exports;662.000
2009-12;Hard coal;Thousand tonnes;Exports;744.000
2010-01;Hard coal;Thousand tonnes;Exports;757.000
2010-02;Hard coal;Thousand tonnes;Exports;760.000
2010-03;Hard coal;Thousand tonnes;Exports;1082.000
2010-04;Hard coal;Thousand tonnes;Exports;970.000
2010-05;Hard coal;Thousand tonnes;Exports;1074.000
2010-06;Hard coal;Thousand tonnes;Exports;1007.000
2010-07;Hard coal;Thousand tonnes;Exports;910.000
2010-08;Hard coal;Thousand tonnes;Exports;897.000
2010-09;Hard coal;Thousand tonnes;Exports;795.000
2010-10;Hard coal;Thousand tonnes;Exports;965.000
2010-11;Hard coal;Thousand tonnes;Exports;543.000
2010-12;Hard coal;Thousand tonnes;Exports;523.000
2011-01;Hard coal;Thousand tonnes;Exports;605.000
2011-02;Hard coal;Thousand tonnes;Exports;547.000
2011-03;Hard coal;Thousand tonnes;Exports;634.000
2011-04;Hard coal;Thousand tonnes;Exports;649.000
2011-05;Hard coal;Thousand tonnes;Exports;529.000
2011-06;Hard coal;Thousand tonnes;Exports;399.000
2011-07;Hard coal;Thousand tonnes;Exports;348.000
2011-08;Hard coal;Thousand tonnes;Exports;603.000
2011-09;Hard coal;Thousand tonnes;Exports;686.000
2011-10;Hard coal;Thousand tonnes;Exports;553.000
2011-11;Hard coal;Thousand tonnes;Exports;527.000
2011-12;Hard coal;Thousand tonnes;Exports;492.000
2012-01;Hard coal;Thousand tonnes;Exports;308.000
2012-02;Hard coal;Thousand tonnes;Exports;486.000
2012-03;Hard coal;Thousand tonnes;Exports;534.000
2012-04;Hard coal;Thousand tonnes;Exports;395.000
2012-05;Hard coal;Thousand tonnes;Exports;421.000
2012-06;Hard coal;Thousand tonnes;Exports;431.000
2012-07;Hard coal;Thousand tonnes;Exports;468.000
2012-08;Hard coal;Thousand tonnes;Exports;611.000
2012-09;Hard coal;Thousand tonnes;Exports;803.000
2012-10;Hard coal;Thousand tonnes;Exports;833.000
2012-11;Hard coal;Thousand tonnes;Exports;868.000
2012-12;Hard coal;Thousand tonnes;Exports;717.000
2013-01;Hard coal;Thousand tonnes;Exports;687.000
2013-02;Hard coal;Thousand tonnes;Exports;1001.000
2013-03;Hard coal;Thousand tonnes;Exports;996.000
2013-04;Hard coal;Thousand tonnes;Exports;963.000
2013-05;Hard coal;Thousand tonnes;Exports;1069.000
2013-06;Hard coal;Thousand tonnes;Exports;1125.000
2013-07;Hard coal;Thousand tonnes;Exports;873.000
2013-08;Hard coal;Thousand tonnes;Exports;929.000
2013-09;Hard coal;Thousand tonnes;Exports;881.000
2013-10;Hard coal;Thousand tonnes;Exports;935.000
2013-11;Hard coal;Thousand tonnes;Exports;728.000
2013-12;Hard coal;Thousand tonnes;Exports;605.000
2014-01;Hard coal;Thousand tonnes;Exports;671.000
2014-02;Hard coal;Thousand tonnes;Exports;702.000
2014-03;Hard coal;Thousand tonnes;Exports;946.000
2014-04;Hard coal;Thousand tonnes;Exports;837.000
2014-05;Hard coal;Thousand tonnes;Exports;732.000
2014-06;Hard coal;Thousand tonnes;Exports;640.000
2014-07;Hard coal;Thousand tonnes;Exports;730.000
2014-08;Hard coal;Thousand tonnes;Exports;707.000
