TIME_PERIOD,Energochlonnosc pierwotna PKB
2013-01,0.248
2013-02,0.248
2013-03,0.248
2013-04,0.248
2013-05,0.248
2013-06,0.248
2013-07,0.248
2013-08,0.248
2013-09,0.248
2013-10,0.248
2013-11,0.248
2013-12,0.248
2014-01,0.23
2014-02,0.23
2014-03,0.23
2014-04,0.23
2014-05,0.23
2014-06,0.23
2014-07,0.23
2014-08,0.23
2014-09,0.23
2014-10,0.23
2014-11,0.23
2014-12,0.23
2015-01,0.222
2015-02,0.222
2015-03,0.222
2015-04,0.222
2015-05,0.222
2015-06,0.222
2015-07,0.222
2015-08,0.222
2015-09,0.222
2015-10,0.222
2015-11,0.222
2015-12,0.222
2016-01,0.225
2016-02,0.225
2016-03,0.225
2016-04,0.225
2016-05,0.225
2016-06,0.225
2016-07,0.225
2016-08,0.225
2016-09,0.225
2016-10,0.225
2016-11,0.225
2016-12,0.225
2017-01,0.224
2017-02,0.224
2017-03,0.224
2017-04,0.224
2017-05,0.224
2017-06,0.224
2017-07,0.224
2017-08,0.224
2017-09,0.224
2017-10,0.224
2017-11,0.224
2017-12,0.224
2018-01,0.22
2018-02,0.22
2018-03,0.22
2018-04,0.22
2018-05,0.22
2018-06,0.22
2018-07,0.22
2018-08,0.22
2018-09,0.22
2018-10,0.22
2018-11,0.22
2018-12,0.22
2019-01,0.203
2019-02,0.203
2019-03,0.203
2019-04,0.203
2019-05,0.203
2019-06,0.203
2019-07,0.203
2019-08,0.203
2019-09,0.203
2019-10,0.203
2019-11,0.203
2019-12,0.203
2020-01,0.201
2020-02,0.201
2020-03,0.201
2020-04,0.201
2020-05,0.201
2020-06,0.201
2020-07,0.201
2020-08,0.201
2020-09,0.201
2020-10,0.201
2020-11,0.201
2020-12,0.201
2021-01,0.199
2021-02,0.199
2021-03,0.199
2021-04,0.199
2021-05,0.199
2021-06,0.199
2021-07,0.199
2021-08,0.199
2021-09,0.199
2021-10,0.199
2021-11,0.199
2021-12,0.199
2022-01,0.18
2022-02,0.18
2022-03,0.18
2022-04,0.18
2022-05,0.18
2022-06,0.18
2022-07,0.18
2022-08,0.18
2022-09,0.18
2022-10,0.18
2022-11,0.18
2022-12,0.18
2023-01,0.169
2023-02,0.169
2023-03,0.169
2023-04,0.169
2023-05,0.169
2023-06,0.169
2023-07,0.169
2023-08,0.169
2023-09,0.169
2023-10,0.169
2023-11,0.169
2023-12,0.169
