TIME_PERIOD,ELECTRICITY_PRICE
2008-01,155.44
2008-02,155.44
2008-03,155.44
2008-04,155.44
2008-05,155.44
2008-06,155.44
2008-07,155.44
2008-08,155.44
2008-09,155.44
2008-10,155.44
2008-11,155.44
2008-12,155.44
2009-01,197.21
2009-02,197.21
2009-03,197.21
2009-04,197.21
2009-05,197.21
2009-06,197.21
2009-07,197.21
2009-08,197.21
2009-09,197.21
2009-10,197.21
2009-11,197.21
2009-12,197.21
2010-01,195.32
2010-02,195.32
2010-03,195.32
2010-04,195.32
2010-05,195.32
2010-06,195.32
2010-07,195.32
2010-08,195.32
2010-09,195.32
2010-10,195.32
2010-11,195.32
2010-12,195.32
2011-01,198.9
2011-02,198.9
2011-03,198.9
2011-04,198.9
2011-05,198.9
2011-06,198.9
2011-07,198.9
2011-08,198.9
2011-09,198.9
2011-10,198.9
2011-11,198.9
2011-12,198.9
2012-01,201.36
2012-02,201.36
2012-03,201.36
2012-04,201.36
2012-05,201.36
2012-06,201.36
2012-07,201.36
2012-08,201.36
2012-09,201.36
2012-10,201.36
2012-11,201.36
2012-12,201.36
2013-01,181.55
2013-02,181.55
2013-03,181.55
2013-04,181.55
2013-05,181.55
2013-06,181.55
2013-07,181.55
2013-08,181.55
2013-09,181.55
2013-10,181.55
2013-11,181.55
2013-12,181.55
2014-01,163.58
2014-02,163.58
2014-03,163.58
2014-04,163.58
2014-05,163.58
2014-06,163.58
2014-07,163.58
2014-08,163.58
2014-09,163.58
2014-10,163.58
2014-11,163.58
2014-12,163.58
2015-01,169.99
2015-02,169.99
2015-03,169.99
2015-04,170.19
2015-05,170.19
2015-06,170.19
2015-07,172.75
2015-08,172.75
2015-09,172.75
2015-10,167.36
2015-11,167.36
2015-12,167.36
2016-01,167.45
2016-02,167.45
2016-03,167.45
2016-04,171.14
2016-05,171.14
2016-06,171.14
2016-07,171.52
2016-08,171.52
2016-09,171.52
2016-10,168.88
2016-11,168.88
2016-12,168.88
2017-01,160.6
2017-02,160.6
2017-03,160.6
2017-04,162.5
2017-05,162.5
2017-06,162.5
2017-07,167.86
2017-08,167.86
2017-09,167.86
2017-10,164.05
2017-11,164.05
2017-12,164.05
2018-01,174.95
2018-02,174.95
2018-03,174.95
2018-04,186.21
2018-05,186.21
2018-06,186.21
2018-07,208.83
2018-08,208.83
2018-09,208.83
2018-10,205.5
2018-11,205.5
2018-12,205.5
2019-01,241.81
2019-02,241.81
2019-03,241.81
2019-04,247.21
2019-05,247.21
2019-06,247.21
2019-07,252.65
2019-08,252.65
2019-09,252.65
2019-10,241.41
2019-11,241.41
2019-12,241.41
2020-01,250.9
2020-02,250.9
2020-03,250.9
2020-04,245.36
2020-05,245.36
2020-06,245.36
2020-07,257.98
2020-08,257.98
2020-09,257.98
2020-10,256.22
2020-11,256.22
2020-12,256.22
2021-01,243.71
2021-02,243.71
2021-03,243.71
2021-04,255.99
2021-05,255.99
2021-06,255.99
2021-07,282.97
2021-08,282.97
2021-09,282.97
2021-10,325.26
2021-11,325.26
2021-12,325.26
2022-01,468.35
2022-02,468.35
2022-03,468.35
2022-04,471.96
2022-05,471.96
2022-06,471.96
2022-07,566.33
2022-08,566.33
2022-09,566.33
2022-10,586.79
2022-11,586.79
2022-12,586.79
2023-01,889.69
2023-02,889.69
2023-03,889.69
2023-04,751.44
2023-05,751.44
2023-06,751.44
2023-07,736.39
2023-08,736.39
2023-09,736.39
2023-10,679.2
2023-11,679.2
2023-12,679.2
2024-01,511.34
2024-02,511.34
2024-03,511.34
2024-04,497.89
2024-05,497.89
2024-06,497.89
2024-07,526.24
2024-08,526.24
2024-09,526.24
2024-10,537.53
2024-11,537.53
2024-12,537.53
2025-01,474.68
2025-02,474.68
2025-03,474.68
2025-04,424.37
2025-05,424.37
2025-06,424.37
