TIME_PERIOD;TYPE;UNIT;VALUE;;CONF_STATUS
2017-01;Coal and manufactured gases;Gigawatt-hour;12091.658;;
2017-02;Coal and manufactured gases;Gigawatt-hour;10431.340;;
2017-03;Coal and manufactured gases;Gigawatt-hour;10137.968;;
2017-04;Coal and manufactured gases;Gigawatt-hour;9115.325;;
2017-05;Coal and manufactured gases;Gigawatt-hour;9751.789;;
2017-06;Coal and manufactured gases;Gigawatt-hour;9354.686;;
2017-07;Coal and manufactured gases;Gigawatt-hour;10145.696;;
2017-08;Coal and manufactured gases;Gigawatt-hour;10072.890;;
2017-09;Coal and manufactured gases;Gigawatt-hour;9720.766;;
2017-10;Coal and manufactured gases;Gigawatt-hour;9686.949;;
2017-11;Coal and manufactured gases;Gigawatt-hour;10151.872;;
2017-12;Coal and manufactured gases;Gigawatt-hour;9982.882;;
2018-01;Coal and manufactured gases;Gigawatt-hour;10138.276;;
2018-02;Coal and manufactured gases;Gigawatt-hour;10415.872;;
2018-03;Coal and manufactured gases;Gigawatt-hour;10758.336;;
2018-04;Coal and manufactured gases;Gigawatt-hour;8673.423;;
2018-05;Coal and manufactured gases;Gigawatt-hour;9191.617;;
2018-06;Coal and manufactured gases;Gigawatt-hour;9551.778;;
2018-07;Coal and manufactured gases;Gigawatt-hour;10359.896;;
2018-08;Coal and manufactured gases;Gigawatt-hour;10238.848;;
2018-09;Coal and manufactured gases;Gigawatt-hour;9840.715;;
2018-10;Coal and manufactured gases;Gigawatt-hour;9985.874;;
2018-11;Coal and manufactured gases;Gigawatt-hour;10412.314;;
2018-12;Coal and manufactured gases;Gigawatt-hour;10505.534;;
2019-01;Coal and manufactured gases;Gigawatt-hour;10894.804;;
2019-02;Coal and manufactured gases;Gigawatt-hour;8923.420;;
2019-03;Coal and manufactured gases;Gigawatt-hour;8839.478;;
2019-04;Coal and manufactured gases;Gigawatt-hour;8331.696;;
2019-05;Coal and manufactured gases;Gigawatt-hour;8944.061;;
2019-06;Coal and manufactured gases;Gigawatt-hour;8982.102;;
2019-07;Coal and manufactured gases;Gigawatt-hour;8964.912;;
2019-08;Coal and manufactured gases;Gigawatt-hour;9200.043;;
2019-09;Coal and manufactured gases;Gigawatt-hour;8721.191;;
2019-10;Coal and manufactured gases;Gigawatt-hour;9271.108;;
2019-11;Coal and manufactured gases;Gigawatt-hour;8772.113;;
2019-12;Coal and manufactured gases;Gigawatt-hour;8750.464;;
2020-01;Coal and manufactured gases;Gigawatt-hour;9237.980;;
2020-02;Coal and manufactured gases;Gigawatt-hour;8108.244;;
2020-03;Coal and manufactured gases;Gigawatt-hour;8262.817;;
2020-04;Coal and manufactured gases;Gigawatt-hour;6983.517;;
2020-05;Coal and manufactured gases;Gigawatt-hour;7157.624;;
2020-06;Coal and manufactured gases;Gigawatt-hour;7544.266;;
2020-07;Coal and manufactured gases;Gigawatt-hour;7987.721;;
2020-08;Coal and manufactured gases;Gigawatt-hour;8390.279;;
2020-09;Coal and manufactured gases;Gigawatt-hour;8360.019;;
2020-10;Coal and manufactured gases;Gigawatt-hour;8804.393;;
2020-11;Coal and manufactured gases;Gigawatt-hour;8810.169;;
2020-12;Coal and manufactured gases;Gigawatt-hour;9148.389;;
2021-01;Coal and manufactured gases;Gigawatt-hour;10518.363;;
2021-02;Coal and manufactured gases;Gigawatt-hour;9328.132;;
