TIME_PERIOD,Energochlonnosc finalna PKB,Energochlonnosc finalna PKB z korekta klimatyczna,ELECTRICITY_PRICE,Energochlonnosc pierwotna PKB
2008-01,,,155.44,
2008-02,,,155.44,
2008-03,,,155.44,
2008-04,,,155.44,
2008-05,,,155.44,
2008-06,,,155.44,
2008-07,,,155.44,
2008-08,,,155.44,
2008-09,,,155.44,
2008-10,,,155.44,
2008-11,,,155.44,
2008-12,,,155.44,
2009-01,,,197.21,
2009-02,,,197.21,
2009-03,,,197.21,
2009-04,,,197.21,
2009-05,,,197.21,
2009-06,,,197.21,
2009-07,,,197.21,
2009-08,,,197.21,
2009-09,,,197.21,
2009-10,,,197.21,
2009-11,,,197.21,
2009-12,,,197.21,
2010-01,,,195.32,
2010-02,,,195.32,
2010-03,,,195.32,
2010-04,,,195.32,
2010-05,,,195.32,
2010-06,,,195.32,
2010-07,,,195.32,
2010-08,,,195.32,
2010-09,,,195.32,
2010-10,,,195.32,
2010-11,,,195.32,
2010-12,,,195.32,
2011-01,,,198.9,
2011-02,,,198.9,
2011-03,,,198.9,
2011-04,,,198.9,
2011-05,,,198.9,
2011-06,,,198.9,
2011-07,,,198.9,
2011-08,,,198.9,
2011-09,,,198.9,
2011-10,,,198.9,
2011-11,,,198.9,
2011-12,,,198.9,
2012-01,,,201.36,
2012-02,,,201.36,
2012-03,,,201.36,
2012-04,,,201.36,
2012-05,,,201.36,
2012-06,,,201.36,
2012-07,,,201.36,
2012-08,,,201.36,
2012-09,,,201.36,
2012-10,,,201.36,
2012-11,,,201.36,
2012-12,,,201.36,
2013-01,0.247,0.156,181.55,0.248
2013-02,0.247,0.156,181.55,0.248
2013-03,0.247,0.156,181.55,0.248
2013-04,0.247,0.156,181.55,0.248
2013-05,0.247,0.156,181.55,0.248
2013-06,0.247,0.156,181.55,0.248
2013-07,0.247,0.156,181.55,0.248
2013-08,0.247,0.156,181.55,0.248
2013-09,0.247,0.156,181.55,0.248
2013-10,0.247,0.156,181.55,0.248
2013-11,0.247,0.156,181.55,0.248
2013-12,0.247,0.156,181.55,0.248
2014-01,0.233,0.149,163.58,0.23
2014-02,0.233,0.149,163.58,0.23
2014-03,0.233,0.149,163.58,0.23
2014-04,0.233,0.149,163.58,0.23
2014-05,0.233,0.149,163.58,0.23
2014-06,0.233,0.149,163.58,0.23
2014-07,0.233,0.149,163.58,0.23
2014-08,0.233,0.149,163.58,0.23
2014-09,0.233,0.149,163.58,0.23
2014-10,0.233,0.149,163.58,0.23
