TIME_PERIOD,Coal and manufactured gases (Gigawatt-hour),Coal and manufactured gases (Percentage),Combustible fuels (Gigawatt-hour),Combustible fuels (Percentage),Combustible fuels - non-renewable (Gigawatt-hour),Combustible fuels - non-renewable (Percentage),Combustible fuels - renewable (Gigawatt-hour),Combustible fuels - renewable (Percentage),Fossil energy (Gigawatt-hour),Fossil energy (Percentage),Geothermal (Gigawatt-hour),Geothermal (Percentage),Hydro (Gigawatt-hour),Hydro (Percentage),Mixed hydro power (Gigawatt-hour),Mixed hydro power (Percentage),Natural gas (Gigawatt-hour),Natural gas (Percentage),Nuclear fuels and other fuels n.e.c. (Gigawatt-hour),Nuclear fuels and other fuels n.e.c. (Percentage),Oil and petroleum products (excluding biofuel portion) (Gigawatt-hour),Oil and petroleum products (excluding biofuel portion) (Percentage),Other fuels n.e.c. (Gigawatt-hour),Other fuels n.e.c. (Percentage),Other renewable energies (Gigawatt-hour),Other renewable energies (Percentage),Pumped hydro power (Gigawatt-hour),Pumped hydro power (Percentage),Pure hydro power (Gigawatt-hour),Pure hydro power (Percentage),Renewables and biofuels (Gigawatt-hour),Renewables and biofuels (Percentage),Solar (Gigawatt-hour),Solar (Percentage),Solar photovoltaic (Gigawatt-hour),Solar photovoltaic (Percentage),Solar thermal (Gigawatt-hour),Solar thermal (Percentage),Total (Gigawatt-hour),Wind (Gigawatt-hour),Wind (Percentage),Wind off shore (Gigawatt-hour),Wind off shore (Percentage),Wind on shore (Gigawatt-hour),Wind on shore (Percentage)
2008-01,,,12717.0,,,,,,,,0.0,,546.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,13263.0,0.0,,,,,
2008-02,,,11480.0,,,,,,,,0.0,,576.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12056.0,0.0,,,,,
2008-03,,,11324.0,,,,,,,,0.0,,647.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,11971.0,0.0,,,,,
2008-04,,,10744.0,,,,,,,,0.0,,562.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,11306.0,0.0,,,,,
2008-05,,,10191.0,,,,,,,,0.0,,565.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10756.0,0.0,,,,,
2008-06,,,10317.0,,,,,,,,0.0,,466.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10783.0,0.0,,,,,
2008-07,,,10486.0,,,,,,,,0.0,,511.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10997.0,0.0,,,,,
2008-08,,,10390.0,,,,,,,,0.0,,546.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10936.0,0.0,,,,,
2008-09,,,10795.0,,,,,,,,0.0,,514.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,11309.0,0.0,,,,,
2008-10,,,11555.0,,,,,,,,0.0,,666.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12221.0,0.0,,,,,
2008-11,,,11206.0,,,,,,,,0.0,,647.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,11853.0,0.0,,,,,
2008-12,,,11831.0,,,,,,,,0.0,,659.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12490.0,0.0,,,,,
2009-01,,,12400.0,,,,,,,,0.0,,584.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12984.0,0.0,,,,,
2009-02,,,10905.0,,,,,,,,0.0,,598.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,11503.0,0.0,,,,,
2009-03,,,11491.0,,,,,,,,0.0,,763.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12254.0,0.0,,,,,
2009-04,,,9734.0,,,,,,,,0.0,,778.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10512.0,0.0,,,,,
2009-05,,,9498.0,,,,,,,,0.0,,677.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10175.0,0.0,,,,,
2009-06,,,9331.0,,,,,,,,0.0,,720.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10051.0,0.0,,,,,
2009-07,,,9833.0,,,,,,,,0.0,,736.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10569.0,0.0,,,,,
2009-08,,,9831.0,,,,,,,,0.0,,697.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10528.0,0.0,,,,,
2009-09,,,10191.0,,,,,,,,0.0,,693.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10884.0,0.0,,,,,
2009-10,,,11482.0,,,,,,,,0.0,,819.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12301.0,0.0,,,,,
2009-11,,,11160.0,,,,,,,,0.0,,924.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,12084.0,0.0,,,,,
2009-12,,,12176.0,,,,,,,,0.0,,843.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,13019.0,0.0,,,,,
2010-01,,,12562.0,,,,,,,,0.0,,790.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,13352.0,0.0,,,,,
2010-02,,,11244.0,,,,,,,,0.0,,685.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,11929.0,0.0,,,,,
