TIME_PERIOD,brown coal - change in stock - thousand tonnes,brown coal - closing stocks on national territory - thousand tonnes,brown coal - exports - thousand tonnes,brown coal - gross inland deliveries - calculated - thousand tonnes,brown coal - imports - thousand tonnes,brown coal - indigenous production - thousand tonnes,brown coal - opening stocks on national territory - thousand tonnes,brown coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,coke oven coke - change in stock - thousand tonnes,coke oven coke - closing stocks on national territory - thousand tonnes,coke oven coke - exports - thousand tonnes,coke oven coke - final consumption - industry sector - iron and steel - thousand tonnes,coke oven coke - gross inland deliveries - calculated - thousand tonnes,coke oven coke - imports - thousand tonnes,coke oven coke - imports from outside eu - thousand tonnes,coke oven coke - indigenous production - thousand tonnes,coke oven coke - opening stocks on national territory - thousand tonnes,hard coal - change in stock - thousand tonnes,hard coal - closing stocks on national territory - thousand tonnes,hard coal - exports - thousand tonnes,hard coal - final consumption - industry sector - iron and steel - thousand tonnes,hard coal - final consumption - industry sector - thousand tonnes,hard coal - final consumption - other sectors - thousand tonnes,hard coal - gross inland deliveries - calculated - thousand tonnes,hard coal - gross inland deliveries - observed - thousand tonnes,hard coal - imports - thousand tonnes,hard coal - imports from outside eu - thousand tonnes,hard coal - indigenous production - thousand tonnes,hard coal - opening stocks on national territory - thousand tonnes,hard coal - recovered and recycled products - thousand tonnes,hard coal - statistical differences - thousand tonnes,hard coal - transformation input - coke ovens - thousand tonnes,hard coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,oil shale and oil sands - change in stock - thousand tonnes,oil shale and oil sands - closing stocks on national territory - thousand tonnes,oil shale and oil sands - exports - thousand tonnes,oil shale and oil sands - gross inland deliveries - calculated - thousand tonnes,oil shale and oil sands - imports - thousand tonnes,oil shale and oil sands - indigenous production - thousand tonnes,oil shale and oil sands - opening stocks on national territory - thousand tonnes,oil shale and oil sands - transformation input - electricity and heat generation - main activity producers - thousand tonnes,peat - change in stock - thousand tonnes,peat - closing stocks on national territory - thousand tonnes,peat - exports - thousand tonnes,peat - gross inland deliveries - calculated - thousand tonnes,peat - imports - thousand tonnes,peat - indigenous production - thousand tonnes,peat - opening stocks on national territory - thousand tonnes,peat - transformation input - electricity and heat generation - main activity producers - thousand tonnes
2008-01,-316.0,346.0,0.0,4807.0,0.0,5123.0,30.0,4730.0,-52.0,179.0,509.0,225.0,311.0,5.0,,867.0,127.0,526.0,5697.0,461.0,,563.0,1607.0,8056.0,,632.0,,7301.0,6837.0,58.0,,897.0,3907.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02,100.0,246.0,0.0,4620.0,0.0,4520.0,346.0,4569.0,-6.0,185.0,220.0,258.0,600.0,8.0,,818.0,179.0,-10.0,5718.0,756.0,,499.0,1217.0,7061.0,,690.0,,7081.0,5697.0,56.0,,919.0,3773.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03,-128.0,374.0,0.0,4581.0,0.0,4709.0,246.0,4540.0,-44.0,229.0,311.0,274.0,520.0,6.0,,869.0,185.0,56.0,5259.0,866.0,,487.0,1311.0,7133.0,,1147.0,,6743.0,5718.0,53.0,,912.0,3371.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04,240.0,134.0,0.0,4773.0,0.0,4533.0,374.0,4731.0,42.0,187.0,582.0,268.0,349.0,8.0,,881.0,229.0,-29.0,5919.0,773.0,,515.0,1476.0,7547.0,,817.0,,7478.0,5259.0,54.0,,967.0,3721.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05,-23.0,157.0,0.0,4873.0,0.0,4896.0,134.0,4856.0,-10.0,197.0,575.0,277.0,310.0,12.0,,883.0,187.0,198.0,6304.0,663.0,,472.0,1309.0,6778.0,,664.0,,6529.0,5919.0,50.0,,924.0,3325.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06,-124.0,281.0,0.0,4767.0,0.0,4891.0,157.0,4747.0,79.0,118.0,634.0,258.0,306.0,9.0,,852.0,197.0,32.0,6696.0,685.0,,549.0,1558.0,7099.0,,792.0,,6900.0,6304.0,60.0,,817.0,3370.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07,157.0,124.0,0.0,4922.0,0.0,4765.0,281.0,4895.0,-44.0,162.0,514.0,293.0,328.0,7.0,,879.0,118.0,-44.0,7100.0,835.0,,631.0,1625.0,7365.0,,758.0,,7416.0,6696.0,70.0,,868.0,3446.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08,-246.0,370.0,0.0,4854.0,0.0,5100.0,124.0,4811.0,-26.0,188.0,379.0,297.0,487.0,10.0,,882.0,162.0,-26.0,7335.0,626.0,,522.0,1398.0,6649.0,,934.0,,6316.0,7100.0,51.0,,780.0,3060.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09,-22.0,392.0,0.0,5144.0,0.0,5166.0,370.0,5058.0,43.0,145.0,623.0,268.0,277.0,6.0,,851.0,188.0,73.0,7473.0,684.0,,587.0,1562.0,7073.0,,633.0,,6992.0,7335.0,59.0,,921.0,3404.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10,24.0,368.0,0.0,5503.0,0.0,5479.0,392.0,5382.0,-117.0,262.0,420.0,192.0,241.0,7.0,,771.0,145.0,-248.0,8283.0,179.0,,637.0,1612.0,8293.0,,813.0,,7843.0,7473.0,64.0,,921.0,3844.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
